college_team,college_conference,nfl_team,year,overall,draft_round,pick,name,position,height,weight,season_before_draft,rushing_car,rushing_yds,rushing_td,rushing_ypc,receiving_rec,receiving_yds,receiving_td,receiving_ypr,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Tennessee,SEC,New Orleans,2017,67,3,3,Alvin Kamara,Running Back,70.0,214.0,2016,103,596,9,5.8,40.0,392.0,4.0,9.8,12,8,4,1,1,0,4.56,15.0,39.5,131.0,,,Y
Toledo,Mid-American,Kansas City,2017,86,3,22,Kareem Hunt,Running Back,71.0,216.0,2016,262,1475,10,5.6,41.0,403.0,1.0,9.8,12,9,3,1,0,1,4.62,18.0,36.5,119.0,,,Y
Texas,Big 12,Houston,2017,89,3,25,D'Onta Foreman,Running Back,72.0,233.0,2016,323,2028,15,6.3,7.0,75.0,0.0,10.7,12,5,7,0,0,0,,18.0,,,,,Y
Pittsburgh,ACC,Pittsburgh,2017,105,3,41,James Conner,Running Back,74.0,233.0,2016,216,1092,16,5.1,21.0,302.0,4.0,14.4,12,8,4,1,0,1,4.65,20.0,29.0,113.0,,,Y
Oklahoma,Big 12,Washington,2017,114,4,7,Samaje Perine,Running Back,71.0,233.0,2016,196,1060,12,5.4,10.0,106.0,1.0,10.6,12,10,2,1,1,0,4.65,30.0,33.0,116.0,7.26,4.37,Y
North Carolina A&T,MEAC,Chicago,2017,119,4,13,Tarik Cohen,Running Back,67.0,179.0,2016,28,149,1,5.3,9.0,125.0,0.0,13.9,12,9,3,0,0,0,4.42,11.0,31.5,118.0,,,Y
Utah,Pac-12,San Francisco,2017,121,4,15,Joe Williams,Running Back,71.0,210.0,2016,210,1407,10,6.7,9.0,107.0,0.0,11.9,12,8,4,1,1,0,4.41,14.0,35.0,125.0,7.19,4.19,Y
San Diego State,Mountain West,Philadelphia,2017,132,4,26,Donnel Pumphrey,Running Back,68.0,176.0,2016,349,2133,17,6.1,27.0,231.0,0.0,8.6,13,10,3,1,1,0,4.48,5.0,33.5,117.0,,,Y
BYU,FBS Independents,Green Bay,2017,134,4,28,Jamaal Williams,Running Back,72.0,212.0,2016,234,1375,12,5.9,7.0,80.0,0.0,11.4,12,8,4,1,1,0,4.59,,30.0,123.0,7.25,4.53,Y
Clemson,ACC,New York,2017,140,4,34,Wayne Gallman,Running Back,73.0,215.0,2016,232,1133,17,4.9,20.0,152.0,0.0,7.6,13,12,1,2,2,0,4.6,21.0,29.5,120.0,7.17,4.28,Y
South Florida,American Athletic,Indianapolis,2017,143,4,37,Marlon Mack,Running Back,71.0,213.0,2016,174,1187,15,6.8,28.0,227.0,0.0,8.1,12,10,2,1,1,0,4.5,15.0,35.5,125.0,,,Y
Wyoming,Mountain West,Atlanta,2017,156,5,12,Brian Hill,Running Back,73.0,219.0,2016,349,1860,22,5.3,8.0,67.0,0.0,8.4,13,8,5,1,0,1,4.54,15.0,34.0,125.0,7.03,4.32,Y
Boise State,Mountain West,Tampa Bay,2017,162,5,18,Jeremy McNichols,Running Back,69.0,214.0,2016,314,1709,23,5.4,37.0,474.0,4.0,12.8,12,10,2,1,0,1,4.49,,35.5,121.0,6.93,4.28,Y
North Carolina,ACC,Arizona,2017,179,5,36,T.J. Logan,Running Back,70.0,196.0,2016,120,650,7,5.4,29.0,244.0,3.0,8.4,12,8,4,1,0,1,4.37,17.0,33.5,121.0,,,Y
UTEP,Conference USA,Green Bay,2017,182,5,39,Aaron Jones,Running Back,70.0,208.0,2016,229,1773,17,7.7,28.0,233.0,3.0,8.3,12,4,8,0,0,0,4.56,16.0,37.5,127.0,6.82,4.2,Y
Louisiana,Sun Belt,New York,2017,188,6,4,Elijah McGuire,Running Back,70.0,214.0,2016,232,1127,7,4.9,29.0,238.0,2.0,8.2,12,6,6,1,0,1,4.53,15.0,36.0,120.0,7.26,4.56,Y
Utah State,Mountain West,Green Bay,2017,238,7,20,Devante Mays,Running Back,70.0,230.0,2016,37,259,3,7.0,1.0,8.0,0.0,8.0,12,3,9,0,0,0,,,,,,,N
North Carolina,ACC,Las Vegas,2017,242,7,24,Elijah Hood,Running Back,71.0,232.0,2016,145,858,8,5.9,25.0,142.0,0.0,5.7,12,8,4,1,0,1,,18.0,,,,,Y
Oklahoma State,Big 12,Seattle,2017,249,7,31,Christopher Carson,Running Back,72.0,218.0,2016,82,559,9,6.8,13.0,128.0,1.0,9.8,12,9,3,1,1,0,4.58,23.0,37.0,130.0,,,Y
NC State,ACC,Cleveland,2017,252,7,34,Matthew Dayes,Running Back,69.0,205.0,2016,249,1166,10,4.7,32.0,267.0,0.0,8.3,12,6,6,1,1,0,4.47,18.0,28.0,109.0,,,Y
Penn State,Big Ten,New York,2018,2,1,2,Saquon Barkley,Running Back,72.0,233.0,2017,217,1271,18,5.9,54.0,632.0,3.0,11.7,12,10,2,1,1,0,4.4,29.0,41.0,,,4.24,Y
San Diego State,Mountain West,Seattle,2018,27,1,27,Rashaad Penny,Running Back,71.0,220.0,2017,289,2248,23,7.8,19.0,135.0,2.0,7.1,12,10,2,1,0,1,4.46,13.0,32.5,120.0,,,Y
Georgia,SEC,New England,2018,31,1,31,Sony Michel,Running Back,71.0,214.0,2017,156,1227,16,7.9,9.0,96.0,1.0,10.7,13,12,1,2,1,1,4.54,22.0,,,,4.21,Y
Georgia,SEC,Cleveland,2018,35,2,3,Nick Chubb,Running Back,71.0,227.0,2017,223,1345,15,6.0,4.0,30.0,0.0,7.5,13,12,1,2,1,1,4.52,29.0,38.5,128.0,7.09,4.25,Y
USC,Pac-12,Tampa Bay,2018,38,2,6,Ronald Jones II,Running Back,71.0,205.0,2017,261,1550,19,5.9,14.0,187.0,1.0,13.4,13,11,2,1,0,1,4.65,,36.5,,,,Y
Auburn,SEC,Detroit,2018,43,2,11,Kerryon Johnson,Running Back,72.0,213.0,2017,285,1391,18,4.9,24.0,194.0,2.0,8.1,13,10,3,1,0,1,,11.0,40.0,126.0,7.07,4.29,Y
LSU,SEC,Washington,2018,59,2,27,Derrius Guice,Running Back,71.0,224.0,2017,237,1251,11,5.3,18.0,124.0,2.0,6.9,12,9,3,1,0,1,4.49,15.0,31.5,,,,Y
Oregon,Pac-12,Denver,2018,71,3,7,Royce Freeman,Running Back,72.0,229.0,2017,244,1475,16,6.0,14.0,164.0,0.0,11.7,12,7,5,1,0,1,4.54,17.0,34.0,118.0,6.9,4.16,Y
NC State,ACC,Indianapolis,2018,104,4,4,Nyheim Hines,Running Back,68.0,198.0,2017,197,1112,12,5.6,26.0,152.0,0.0,5.8,12,8,4,1,1,0,4.38,,35.5,119.0,7.18,4.35,Y
Miami,ACC,Cincinnati,2018,112,4,12,Mark Walton,Running Back,70.0,202.0,2017,56,428,3,7.6,7.0,91.0,0.0,13.0,12,10,2,1,0,1,4.6,18.0,31.5,118.0,,,Y
Southern Miss,Conference USA,Atlanta,2018,126,4,26,Ito Smith,Running Back,69.0,198.0,2017,248,1413,13,5.7,40.0,396.0,2.0,9.9,12,8,4,1,0,1,,,,,,,N
Arizona State,Pac-12,Miami,2018,131,4,31,Kalen Ballage,Running Back,74.0,228.0,2017,157,669,6,4.3,20.0,91.0,0.0,4.6,12,7,5,1,0,1,4.46,15.0,33.5,122.0,6.91,4.35,Y
Fordham,Patriot,Arizona,2018,134,4,34,Chase Edmonds,Running Back,69.0,205.0,2017,15,42,1,2.8,2.0,21.0,0.0,10.5,11,4,7,0,0,0,4.55,19.0,34.0,122.0,6.79,4.07,Y
Ole Miss,SEC,Indianapolis,2018,169,5,32,Jordan Wilkins,Running Back,73.0,216.0,2017,155,1011,9,6.5,26.0,241.0,1.0,9.3,12,6,6,0,0,0,,16.0,36.0,117.0,,4.27,Y
Tennessee,SEC,Los Angeles,2018,176,6,2,John Kelly,Running Back,70.0,216.0,2017,189,778,9,4.1,37.0,299.0,0.0,8.1,12,4,8,0,0,0,,15.0,35.0,120.0,7.13,4.51,Y
Louisiana Tech,Conference USA,New Orleans,2018,201,6,27,Boston Scott,Running Back,67.0,197.0,2017,182,1040,8,5.7,20.0,181.0,1.0,9.1,12,6,6,1,1,0,,,,,,,N
Arkansas,SEC,Denver,2018,226,7,8,David Williams,Running Back,72.0,226.0,2017,117,656,8,5.6,10.0,171.0,2.0,17.1,12,4,8,0,0,0,,,,,,,N
Alabama,SEC,Dallas,2018,236,7,18,Bo Scarbrough,Running Back,73.0,228.0,2017,124,596,8,4.8,17.0,109.0,0.0,6.4,12,11,1,2,2,0,4.52,14.0,40.0,129.0,,4.34,Y
Northwestern,Big Ten,Los Angeles,2018,251,7,33,Justin Jackson,Running Back,72.0,193.0,2017,287,1311,11,4.6,44.0,276.0,0.0,6.3,12,9,3,1,1,0,4.52,13.0,38.5,122.0,6.81,4.07,Y
Alabama,SEC,Las Vegas,2019,24,1,24,Josh Jacobs,Running Back,70.0,220.0,2018,120,640,11,5.3,20.0,247.0,3.0,12.4,13,13,0,2,1,1,,,,,,,Y
Penn State,Big Ten,Philadelphia,2019,53,2,21,Miles Sanders,Running Back,71.0,211.0,2018,219,1271,9,5.8,24.0,139.0,0.0,5.8,12,9,3,1,0,1,4.49,20.0,36.0,124.0,6.89,4.19,Y
Memphis,American Athletic,Los Angeles,2019,70,3,6,Darrell Henderson,Running Back,68.0,208.0,2018,214,1909,22,8.9,19.0,295.0,3.0,15.5,13,8,5,1,0,1,4.49,22.0,33.5,121.0,,,Y
Iowa State,Big 12,Chicago,2019,73,3,9,David Montgomery,Running Back,70.0,222.0,2018,255,1185,13,4.6,22.0,157.0,0.0,7.1,12,8,4,1,0,1,4.63,15.0,28.5,121.0,,,Y
Florida Atlantic,Conference USA,Buffalo,2019,74,3,10,Devin Singletary,Running Back,68.0,203.0,2018,261,1348,22,5.2,6.0,36.0,0.0,6.0,12,5,7,0,0,0,4.66,15.0,35.0,117.0,7.32,4.4,Y
Alabama,SEC,New England,2019,87,3,23,Damien Harris,Running Back,70.0,216.0,2018,150,876,9,5.8,22.0,204.0,0.0,9.3,13,13,0,2,1,1,4.57,16.0,37.0,121.0,,,Y
Boise State,Mountain West,Minnesota,2019,102,3,38,Alexander Mattison,Running Back,71.0,221.0,2018,302,1412,17,4.7,27.0,173.0,0.0,6.4,13,10,3,0,0,0,4.67,22.0,35.0,127.0,7.13,4.29,Y
Stanford,Pac-12,Washington,2019,112,4,10,Bryce Love,Running Back,69.0,200.0,2018,165,736,6,4.5,20.0,99.0,0.0,5.0,12,8,4,1,1,0,,18.0,,,,,Y
Oklahoma State,Big 12,Baltimore,2019,113,4,11,Justice Hill,Running Back,70.0,198.0,2018,158,930,9,5.9,13.0,68.0,0.0,5.2,12,6,6,1,1,0,4.4,21.0,40.0,130.0,,,Y
Kentucky,SEC,Pittsburgh,2019,122,4,20,Benny Snell Jr.,Running Back,70.0,224.0,2018,288,1434,16,5.0,17.0,105.0,0.0,6.2,12,9,3,1,1,0,4.66,16.0,29.5,119.0,7.07,4.33,Y
Memphis,American Athletic,Dallas,2019,128,4,26,Tony Pollard,Running Back,72.0,210.0,2018,79,553,6,7.0,38.0,444.0,3.0,11.7,13,8,5,1,0,1,4.52,13.0,35.0,121.0,,,Y
Temple,American Athletic,Jacksonville,2019,140,5,2,Ryquell Armstead,Running Back,71.0,220.0,2018,210,1098,13,5.2,8.0,52.0,0.0,6.5,12,8,4,1,0,1,4.45,22.0,30.0,114.0,7.02,4.29,Y
Pittsburgh,ACC,Atlanta,2019,152,5,14,Qadree Ollison,Running Back,73.0,228.0,2018,194,1213,11,6.3,11.0,66.0,0.0,6.0,13,7,6,1,0,1,4.58,19.0,29.5,114.0,7.53,4.31,Y
Florida,SEC,Carolina,2019,154,5,16,Jordan Scarlett,Running Back,71.0,208.0,2018,131,776,5,5.9,10.0,84.0,0.0,8.4,12,9,3,1,1,0,4.47,21.0,30.0,116.0,7.37,4.63,Y
Texas A&M,SEC,Cincinnati,2019,182,6,9,Trayveon Williams,Running Back,68.0,206.0,2018,271,1760,18,6.5,27.0,277.0,1.0,10.3,12,8,4,1,1,0,4.51,19.0,33.0,121.0,7.44,4.44,Y
Maryland,Big Ten,Detroit,2019,186,6,13,Ty Johnson,Running Back,71.0,210.0,2018,66,506,3,7.7,6.0,22.0,0.0,3.7,12,5,7,0,0,0,,,,,,,N
Notre Dame,FBS Independents,Green Bay,2019,194,6,21,Dexter Williams,Running Back,71.0,212.0,2018,158,995,12,6.3,16.0,133.0,1.0,8.3,12,12,0,1,0,1,4.57,17.0,36.0,130.0,7.0,4.16,Y
Miami,ACC,Seattle,2019,204,6,31,Travis Homer,Running Back,70.0,201.0,2018,164,985,4,6.0,19.0,186.0,0.0,9.8,12,7,5,1,0,1,4.48,17.0,39.5,130.0,7.07,4.31,Y
Oklahoma,Big 12,Cincinnati,2019,211,6,38,Rodney Anderson,Running Back,72.0,224.0,2018,11,119,3,10.8,,,,,13,12,1,1,0,1,,25.0,,,,,Y
Utah State,Mountain West,Kansas City,2019,214,6,41,Darwin Thompson,Running Back,68.0,198.0,2018,153,1044,14,6.8,23.0,351.0,2.0,15.3,12,10,2,1,1,0,,,,,,,N
Ohio State,Big Ten,Dallas,2019,218,7,4,Mike Weber,Running Back,70.0,211.0,2018,171,954,5,5.6,21.0,112.0,1.0,5.3,13,12,1,1,1,0,4.47,22.0,33.5,,,,Y
Texas A&M,SEC,Houston,2019,220,7,6,Cullen Gillaspia,Running Back,73.0,234.0,2018,5,33,1,6.6,5.0,52.0,0.0,10.4,12,8,4,1,1,0,,,,,,,N
Florida Atlantic,Conference USA,Chicago,2019,222,7,8,Kerrith Whyte Jr.,Running Back,70.0,197.0,2018,134,866,8,6.5,10.0,160.0,2.0,16.0,12,5,7,0,0,0,,,,,,,N
Washington,Pac-12,Miami,2019,234,7,20,Myles Gaskin,Running Back,69.0,205.0,2018,257,1269,12,4.9,21.0,77.0,1.0,3.7,13,10,3,1,0,1,4.58,24.0,35.5,118.0,7.19,4.27,Y
LSU,SEC,Kansas City,2020,32,1,32,Clyde Edwards-Helaire,Running Back,67.0,207.0,2019,215,1414,16,6.6,55.0,453.0,1.0,8.2,13,13,0,2,2,0,4.6,15.0,39.5,123.0,,,Y
Georgia,SEC,Detroit,2020,35,2,3,D'Andre Swift,Running Back,68.0,212.0,2019,196,1218,7,6.2,24.0,216.0,1.0,9.0,13,11,2,1,1,0,4.48,,35.5,121.0,,,Y
Wisconsin,Big Ten,Indianapolis,2020,41,2,9,Jonathan Taylor,Running Back,70.0,226.0,2019,320,2003,21,6.3,26.0,252.0,5.0,9.7,13,10,3,1,0,1,4.39,17.0,36.0,123.0,7.01,4.24,Y
Florida State,ACC,Los Angeles,2020,52,2,20,Cam Akers,Running Back,70.0,217.0,2019,231,1144,14,5.0,30.0,225.0,4.0,7.5,12,6,6,1,0,1,4.47,20.0,35.5,122.0,,4.42,Y
Ohio State,Big Ten,Baltimore,2020,55,2,23,J.K. Dobbins,Running Back,70.0,209.0,2019,301,2003,21,6.7,23.0,247.0,2.0,10.7,13,13,0,1,0,1,,23.0,,,,,Y
Boston College,ACC,Green Bay,2020,62,2,30,AJ Dillon,Running Back,72.0,247.0,2019,318,1685,14,5.3,13.0,195.0,1.0,15.0,12,6,6,1,0,1,4.53,23.0,41.0,131.0,7.19,,Y
Vanderbilt,SEC,Tampa Bay,2020,76,3,12,Ke'Shawn Vaughn,Running Back,70.0,214.0,2019,198,1028,9,5.2,28.0,270.0,1.0,9.6,12,3,9,0,0,0,4.51,,32.0,117.0,,,Y
Utah,Pac-12,Buffalo,2020,86,3,22,Zack Moss,Running Back,69.0,223.0,2019,235,1416,15,6.0,28.0,388.0,2.0,13.9,13,11,2,1,0,1,4.65,19.0,33.0,,,4.37,Y
App State,Sun Belt,Tennessee,2020,93,3,29,Darrynton Evans,Running Back,70.0,203.0,2019,255,1479,18,5.8,21.0,198.0,5.0,9.4,13,12,1,1,1,0,4.41,20.0,37.0,125.0,,,Y
UCLA,Pac-12,Los Angeles,2020,112,4,6,Joshua Kelley,Running Back,71.0,212.0,2019,229,1060,12,4.6,11.0,71.0,1.0,6.5,12,4,8,0,0,0,4.49,23.0,31.0,121.0,6.95,4.28,Y
Florida,SEC,New York,2020,120,4,14,La'Mical Perine,Running Back,71.0,216.0,2019,132,676,6,5.1,40.0,262.0,5.0,6.6,12,10,2,1,1,0,4.62,22.0,35.0,118.0,7.13,4.31,Y
Maryland,Big Ten,Pittsburgh,2020,124,4,18,Anthony McFarland Jr.,Running Back,68.0,208.0,2019,114,614,8,5.4,17.0,126.0,1.0,7.4,12,3,9,0,0,0,4.44,,29.5,116.0,,,Y
Miami,ACC,Seattle,2020,144,4,38,DeeJay Dallas,Running Back,70.0,217.0,2019,114,693,8,6.1,14.0,140.0,2.0,10.0,12,6,6,1,0,1,4.58,,33.5,119.0,7.18,4.32,Y
New Mexico State,FBS Independents,Detroit,2020,172,5,27,Jason Huntley,Running Back,68.0,190.0,2019,154,1090,9,7.1,40.0,192.0,2.0,4.8,12,2,10,0,0,0,,,,,,,N
Arizona State,Pac-12,Arizona,2020,222,7,8,Eno Benjamin,Running Back,69.0,207.0,2019,253,1083,10,4.3,42.0,347.0,2.0,8.3,12,7,5,1,1,0,4.57,12.0,39.0,122.0,6.97,4.25,Y
Louisiana,Sun Belt,Tampa Bay,2020,245,7,31,Raymond Calais,Running Back,68.0,188.0,2019,117,886,6,7.6,10.0,67.0,1.0,6.7,13,10,3,1,1,0,4.42,20.0,37.5,120.0,,,Y
Alabama,SEC,Pittsburgh,2021,24,1,24,Najee Harris,Running Back,73.0,232.0,2020,251,1466,26,5.8,43.0,425.0,4.0,9.9,11,11,0,2,2,0,,,,,,,N
Clemson,ACC,Jacksonville,2021,25,1,25,Travis Etienne,Running Back,70.0,215.0,2020,168,914,14,5.4,48.0,588.0,2.0,12.3,11,10,1,1,0,1,4.45,18.0,33.5,128.0,,,Y
North Carolina,ACC,Denver,2021,35,2,3,Javonte Williams,Running Back,70.0,212.0,2020,157,1140,19,7.3,25.0,305.0,3.0,12.2,11,8,3,1,0,1,4.55,22.0,36.0,123.0,6.97,4.09,Y
Ohio State,Big Ten,San Francisco,2021,88,3,25,Trey Sermon,Running Back,72.0,215.0,2020,116,870,4,7.5,12.0,95.0,0.0,7.9,6,6,0,2,1,1,4.57,,37.0,125.0,6.83,4.28,Y
North Carolina,ACC,New York,2021,107,4,2,Michael Carter,Running Back,68.0,201.0,2020,156,1245,9,8.0,25.0,267.0,2.0,10.7,11,8,3,1,0,1,4.5,16.0,34.0,119.0,6.81,3.98,Y
Iowa State,Big 12,Minnesota,2021,119,4,14,Kene Nwangwu,Running Back,73.0,210.0,2020,61,339,4,5.6,3.0,22.0,0.0,7.3,11,8,3,1,1,0,,,,,,,N
Oklahoma,Big 12,New England,2021,120,4,15,Rhamondre Stevenson,Running Back,72.0,231.0,2020,101,664,7,6.6,18.0,211.0,0.0,11.7,10,8,2,1,1,0,4.64,15.0,31.5,112.0,7.09,4.15,Y
Oklahoma State,Big 12,Carolina,2021,126,4,21,Chuba Hubbard,Running Back,72.0,210.0,2020,132,623,5,4.7,8.0,52.0,1.0,6.5,10,7,3,1,1,0,4.48,20.0,36.0,120.0,7.24,4.26,Y
Louisiana,Sun Belt,San Francisco,2021,194,6,10,Elijah Mitchell,Running Back,70.0,201.0,2020,141,878,8,6.2,16.0,153.0,0.0,9.6,10,9,1,1,1,0,4.38,17.0,37.5,128.0,6.94,4.19,Y
Arizona,Pac-12,New York,2021,196,6,12,Gary Brightwell,Running Back,71.0,218.0,2020,86,386,1,4.5,13.0,58.0,0.0,4.5,5,0,5,0,0,0,4.62,17.0,34.5,118.0,7.51,4.48,Y
Missouri,SEC,Los Angeles,2021,198,6,14,Larry Rountree III,Running Back,71.0,211.0,2020,209,972,14,4.7,15.0,100.0,0.0,6.7,10,5,5,0,0,0,4.62,,30.0,,6.96,,Y
Michigan,Big Ten,Cincinnati,2021,202,6,18,Chris Evans,Running Back,71.0,211.0,2020,16,73,1,4.6,9.0,87.0,0.0,9.7,6,2,4,0,0,0,4.5,20.0,40.5,127.0,6.83,4.12,Y
Virginia Tech,ACC,Chicago,2021,217,6,33,Khalil Herbert,Running Back,69.0,210.0,2020,155,1183,8,7.6,10.0,179.0,1.0,17.9,11,5,6,0,0,0,4.46,22.0,33.0,115.0,6.96,4.31,Y
Maryland,Big Ten,Los Angeles,2021,233,7,5,Jake Funk,Running Back,70.0,205.0,2020,60,511,3,8.5,10.0,68.0,1.0,6.8,5,2,3,0,0,0,4.49,22.0,38.0,122.0,6.71,4.12,Y
Cincinnati,American Athletic,Miami,2021,244,7,17,Gerrid Doaks,Running Back,72.0,230.0,2020,144,673,7,4.7,14.0,202.0,2.0,14.4,9,9,0,1,0,1,,,,,,,N
Mississippi State,SEC,Green Bay,2021,256,7,29,Kylin Hill,Running Back,71.0,214.0,2020,15,58,0,3.9,23.0,237.0,1.0,10.3,10,3,7,1,1,0,4.51,22.0,36.0,122.0,7.13,4.35,Y
Oregon State,Pac-12,Detroit,2021,257,7,30,Jermar Jefferson,Running Back,70.0,206.0,2020,133,858,7,6.5,9.0,67.0,0.0,7.4,7,2,5,0,0,0,4.57,13.0,31.0,115.0,7.38,4.38,Y
Iowa State,Big 12,New York,2022,36,2,4,Breece Hall,Running Back,71.0,217.0,2021,253,1472,20,5.8,36.0,302.0,3.0,8.4,12,7,5,1,0,1,4.39,,40.0,126.0,,,Y
Michigan State,Big Ten,Seattle,2022,41,2,9,Ken Walker III,Running Back,69.0,211.0,2021,263,1636,18,6.2,13.0,89.0,1.0,6.8,12,10,2,1,1,0,4.38,,34.0,122.0,,,Y
Georgia,SEC,Buffalo,2022,63,2,31,James Cook,Running Back,71.0,199.0,2021,113,728,7,6.4,27.0,284.0,4.0,10.5,13,12,1,2,2,0,4.42,,33.0,124.0,,,Y
Arizona State,Pac-12,Tampa Bay,2022,91,3,27,Rachaad White,Running Back,72.0,214.0,2021,182,1006,15,5.5,43.0,456.0,1.0,10.6,12,8,4,1,0,1,4.48,,38.0,125.0,,,Y
LSU,SEC,San Francisco,2022,93,3,29,Tyrion Davis-Price,Running Back,72.0,211.0,2021,211,1003,6,4.8,10.0,64.0,0.0,6.4,12,6,6,1,0,1,4.48,,30.0,117.0,,,Y
Alabama,SEC,Washington,2022,98,3,34,Brian Robinson Jr.,Running Back,74.0,225.0,2021,271,1343,14,5.0,35.0,296.0,2.0,8.5,13,12,1,2,1,1,4.53,,30.0,119.0,,,Y
Florida,SEC,Houston,2022,107,4,2,Dameon Pierce,Running Back,70.0,218.0,2021,100,574,13,5.7,19.0,216.0,3.0,11.4,12,6,6,1,0,1,4.59,21.0,34.5,119.0,,,Y
Georgia,SEC,Las Vegas,2022,122,4,17,Zamir White,Running Back,72.0,214.0,2021,160,856,11,5.4,9.0,75.0,0.0,8.3,13,12,1,2,2,0,4.4,,33.5,128.0,,,Y
Texas A&M,SEC,Los Angeles,2022,123,4,18,Isaiah Spiller,Running Back,72.0,217.0,2021,179,1011,6,5.6,25.0,189.0,1.0,7.6,12,8,4,0,0,0,,,30.0,114.0,,,Y
South Dakota State,MVFC,New England,2022,127,4,22,Pierre Strong Jr.,Running Back,71.0,207.0,2021,13,138,2,10.6,3.0,8.0,0.0,2.7,14,11,3,1,0,1,4.37,,36.0,124.0,,,Y
Michigan,Big Ten,Tennessee,2022,131,4,26,Hassan Haskins,Running Back,74.0,228.0,2021,270,1327,20,4.9,18.0,131.0,0.0,7.3,13,12,1,1,0,1,,27.0,,,,,Y
BYU,FBS Independents,Atlanta,2022,151,5,8,Tyler Allgeier,Running Back,71.0,224.0,2021,276,1606,23,5.8,28.0,199.0,0.0,7.1,12,10,2,1,0,1,4.6,,33.0,120.0,,,Y
Ole Miss,SEC,Jacksonville,2022,154,5,11,Snoop Conner,Running Back,70.0,222.0,2021,130,647,13,5.0,14.0,82.0,0.0,5.9,12,10,2,1,0,1,4.59,25.0,29.5,118.0,,,Y
Cincinnati,American Athletic,Cleveland,2022,156,5,13,Jerome Ford,Running Back,71.0,210.0,2021,215,1319,19,6.1,21.0,220.0,1.0,10.5,13,13,0,1,0,1,4.46,,31.0,118.0,,,Y
Notre Dame,FBS Independents,Los Angeles,2022,164,5,21,Kyren Williams,Running Back,69.0,194.0,2021,204,1002,14,4.9,42.0,359.0,3.0,8.5,12,11,1,1,0,1,4.65,,32.0,116.0,,,Y
North Carolina,ACC,Minnesota,2022,169,5,26,Ty Chandler,Running Back,71.0,204.0,2021,182,1092,13,6.0,15.0,216.0,1.0,14.4,12,6,6,1,0,1,4.38,,31.0,121.0,,,Y
South Carolina,SEC,New England,2022,183,6,4,Kevin Harris,Running Back,70.0,221.0,2021,152,660,4,4.3,11.0,89.0,0.0,8.1,12,6,6,1,1,0,,21.0,38.5,126.0,,,Y
Missouri,SEC,Baltimore,2022,196,6,18,Tyler Badie,Running Back,68.0,197.0,2021,268,1604,14,6.0,54.0,330.0,4.0,6.1,12,6,6,1,0,1,4.45,,33.5,121.0,,,Y
USC,Pac-12,Arizona,2022,201,6,23,Keaontay Ingram,Running Back,72.0,221.0,2021,156,911,5,5.8,22.0,156.0,0.0,7.1,12,4,8,0,0,0,4.53,,34.5,122.0,,,Y
Baylor,Big 12,Chicago,2022,203,6,25,Trestan Ebner,Running Back,71.0,206.0,2021,148,799,2,5.4,28.0,284.0,2.0,10.1,13,11,2,1,1,0,4.43,,30.0,,,,Y
UCLA,Pac-12,Las Vegas,2022,250,7,29,Brittain Brown,Running Back,73.0,205.0,2021,102,616,7,6.0,18.0,129.0,0.0,7.2,12,8,4,0,0,0,,,,,,,N
Rutgers,Big Ten,Kansas City,2022,251,7,30,Isaih Pacheco,Running Back,70.0,216.0,2021,167,647,5,3.9,13.0,25.0,0.0,1.9,12,5,7,1,0,1,4.37,,33.0,118.0,,,Y
Texas,Big 12,Atlanta,2023,8,1,8,Bijan Robinson,Running Back,71.0,215.0,2022,258,1578,18,6.1,19.0,314.0,2.0,16.5,12,8,4,1,0,1,4.46,,37.0,124.0,,,Y
Alabama,SEC,Detroit,2023,12,1,12,Jahmyr Gibbs,Running Back,69.0,199.0,2022,151,926,7,6.1,44.0,444.0,3.0,10.1,12,10,2,1,1,0,4.36,,33.5,,,,Y
UCLA,Pac-12,Seattle,2023,52,2,21,Zach Charbonnet,Running Back,72.0,214.0,2022,195,1359,14,7.0,37.0,321.0,0.0,8.7,12,9,3,1,0,1,4.53,,37.0,122.0,,,Y
TCU,Big 12,New Orleans,2023,71,3,8,Kendre Miller,Running Back,71.0,215.0,2022,224,1399,17,6.2,16.0,116.0,0.0,7.3,13,12,1,2,1,1,,,,,,,Y
Tulane,American Athletic,Tennessee,2023,81,3,18,Tyjae Spears,Running Back,70.0,201.0,2022,229,1581,19,6.9,22.0,256.0,2.0,11.6,13,11,2,1,1,0,,,39.0,125.0,,,Y
Texas A&M,SEC,Miami,2023,84,3,21,Devon Achane,Running Back,69.0,188.0,2022,196,1102,8,5.6,36.0,196.0,3.0,5.4,12,5,7,0,0,0,4.32,,33.0,,,,Y
Auburn,SEC,Jacksonville,2023,88,3,25,Tank Bigsby,Running Back,72.0,210.0,2022,179,970,10,5.4,30.0,180.0,0.0,6.0,12,5,7,0,0,0,4.56,,32.5,119.0,,,Y
Texas,Big 12,Chicago,2023,115,4,13,Roschon Johnson,Running Back,72.0,219.0,2022,93,554,5,6.0,14.0,128.0,1.0,9.1,12,8,4,1,0,1,4.58,,31.5,122.0,,,Y
Pittsburgh,ACC,New York,2023,143,5,9,Israel Abanikanda,Running Back,70.0,216.0,2022,239,1431,20,6.0,12.0,146.0,1.0,12.2,12,8,4,1,1,0,,,,,,,Y
