college_team,college_conference,nfl_team,year,overall,draft_round,pick,name,position,height,weight,season_before_draft,passing_completions,passing_att,completion_pct,passing_yds,passing_tds,passing_ints,passing_ypa,rushing_car,rushing_yds,rushing_td,rushing_ypc,regular_season_games,regular_season_wins,regular_season_losses,postseason_games,postseason_wins,postseason_losses,forty,bench,vertical,broad_jump,cone,shuttle,attended_combine
Clemson,ACC,Jacksonville,2021,1,1,1,Trevor Lawrence,Quarterback,78.0,213.0,2020,231,334,0.692,3153,24,5,9.4,68,203,8,3.0,11,10,1,1,0,1,,,,,,,Y
BYU,FBS Independents,New York,2021,2,1,2,Zach Wilson,Quarterback,74.0,214.0,2020,244,333,0.733,3651,32,3,11.0,69,265,10,3.8,11,10,1,1,1,0,,,,,,,Y
Ohio State,Big Ten,Chicago,2021,11,1,11,Justin Fields,Quarterback,75.0,227.0,2020,158,225,0.702,2100,22,6,9.3,81,383,5,4.7,6,6,0,2,1,1,4.45,,,,,,Y
Alabama,SEC,New England,2021,15,1,15,Mac Jones,Quarterback,75.0,217.0,2020,311,402,0.774,4500,41,4,11.2,35,16,1,0.5,11,11,0,2,2,0,4.72,,32.0,116.0,7.04,4.39,Y
Florida,SEC,Tampa Bay,2021,64,2,32,Kyle Trask,Quarterback,77.0,236.0,2020,301,437,0.689,4283,43,8,9.8,64,50,3,0.8,11,8,3,1,0,1,5.1,,31.5,113.0,7.08,4.6,Y
Texas A&M,SEC,Minnesota,2021,66,3,2,Kellen Mond,Quarterback,75.0,211.0,2020,187,296,0.632,2208,19,3,7.5,74,294,4,4.0,9,8,1,1,1,0,,,,,,,N
Stanford,Pac-12,Houston,2021,67,3,3,Davis Mills,Quarterback,76.0,217.0,2020,127,193,0.658,1510,7,3,7.8,30,37,3,1.2,6,4,2,0,0,0,4.82,,32.0,110.0,6.95,4.4,Y
Notre Dame,FBS Independents,New Orleans,2021,133,4,28,Ian Book,Quarterback,72.0,211.0,2020,228,353,0.646,2830,15,3,8.0,117,486,9,4.2,11,10,1,1,0,1,4.65,,32.5,115.0,6.99,4.19,Y
Texas,Big 12,Indianapolis,2021,218,6,34,Sam Ehlinger,Quarterback,73.0,220.0,2020,194,322,0.602,2566,26,5,8.0,113,378,8,3.3,9,6,3,1,1,0,4.84,,36.5,114.0,7.15,4.44,Y
Pittsburgh,ACC,Pittsburgh,2022,20,1,20,Kenny Pickett,Quarterback,75.0,217.0,2021,334,497,0.672,4319,42,7,8.7,97,241,5,2.5,13,11,2,1,0,1,4.73,,33.5,121.0,,4.29,Y
Cincinnati,American Athletic,Atlanta,2022,74,3,10,Desmond Ridder,Quarterback,75.0,211.0,2021,251,387,0.649,3334,30,8,8.6,110,355,6,3.2,13,13,0,1,0,1,4.52,,36.0,127.0,7.15,4.29,Y
Liberty,FBS Independents,Tennessee,2022,86,3,22,Malik Willis,Quarterback,73.0,219.0,2021,207,339,0.611,2857,27,12,8.4,197,878,13,4.5,12,7,5,1,1,0,,,,,,,Y
Ole Miss,SEC,Carolina,2022,94,3,30,Matt Corral,Quarterback,74.0,212.0,2021,262,386,0.679,3349,20,5,8.7,152,614,11,4.0,12,10,2,1,0,1,,,,,,,Y
Western Kentucky,Conference USA,New England,2022,137,4,32,Bailey Zappe,Quarterback,73.0,215.0,2021,475,686,0.692,5967,62,11,8.7,51,17,3,0.3,13,8,5,1,1,0,4.88,,30.0,109.0,7.19,4.4,Y
North Carolina,ACC,Washington,2022,144,5,1,Sam Howell,Quarterback,73.0,218.0,2021,217,347,0.625,3056,24,9,8.8,183,828,11,4.5,12,6,6,1,0,1,,,,,,,Y
South Dakota State,MVFC,Pittsburgh,2022,241,7,20,Chris Oladokun,Quarterback,74.0,195.0,2021,18,28,0.643,224,2,0,8.0,2,19,1,9.5,14,11,3,1,0,1,,,,,,,N
Kansas State,Big 12,Miami,2022,247,7,26,Skylar Thompson,Quarterback,74.0,217.0,2021,162,233,0.695,2113,12,4,9.1,47,4,4,0.1,12,7,5,1,1,0,4.91,,31.0,112.0,7.0,4.28,Y
Iowa State,Big 12,San Francisco,2022,262,7,41,Brock Purdy,Quarterback,73.0,212.0,2021,292,407,0.717,3188,19,8,7.8,85,238,1,2.8,12,7,5,1,0,1,4.84,,27.0,,7.21,4.45,Y
Alabama,SEC,Carolina,2023,1,1,1,Bryce Young,Quarterback,70.0,204.0,2022,245,380,0.645,3328,32,5,8.8,49,185,4,3.8,12,10,2,1,1,0,,,,,,,Y
Ohio State,Big Ten,Houston,2023,2,1,2,C.J. Stroud,Quarterback,75.0,214.0,2022,258,389,0.663,3688,41,6,9.5,47,108,0,2.3,12,11,1,1,0,1,,,,,,,Y
Florida,SEC,Indianapolis,2023,4,1,4,Anthony Richardson,Quarterback,76.0,244.0,2022,176,327,0.538,2549,17,9,7.8,103,654,9,6.3,12,6,6,1,0,1,4.43,,40.5,129.0,,,Y
Kentucky,SEC,Tennessee,2023,33,2,2,Will Levis,Quarterback,76.0,229.0,2022,185,283,0.654,2406,19,10,8.5,73,-103,2,-1.4,12,7,5,1,0,1,,,34.0,124.0,,,Y
Tennessee,SEC,Detroit,2023,68,3,5,Hendon Hooker,Quarterback,75.0,217.0,2022,229,329,0.696,3135,27,2,9.5,104,430,5,4.1,12,10,2,1,1,0,,,,,,,Y
Fresno State,Mountain West,New Orleans,2023,127,4,25,Jake Haener,Quarterback,72.0,207.0,2022,251,349,0.719,2888,20,3,8.3,45,-116,2,-2.6,13,9,4,1,1,0,,,35.0,114.0,7.01,,Y
Georgia,SEC,Los Angeles,2023,128,4,26,Stetson Bennett,Quarterback,71.0,192.0,2022,310,455,0.681,4127,27,7,9.1,57,205,10,3.6,13,13,0,2,2,0,4.67,,33.5,118.0,,4.2,Y
Purdue,Big Ten,Las Vegas,2023,135,4,33,Aidan O'Connell,Quarterback,75.0,213.0,2022,319,497,0.642,3481,22,13,7.0,43,-81,1,-1.9,13,8,5,1,0,1,,,,,,,Y
Houston,American Athletic,Arizona,2023,139,5,5,Clayton Tune,Quarterback,75.0,220.0,2022,334,497,0.672,4074,40,10,8.2,128,547,5,4.3,12,7,5,1,1,0,4.64,,37.5,122.0,6.89,4.25,Y
UCLA,Pac-12,Cleveland,2023,140,5,6,Dorian Thompson-Robinson,Quarterback,74.0,203.0,2022,265,381,0.696,3153,27,10,8.3,117,647,12,5.5,12,9,3,1,0,1,4.56,,32.5,121.0,7.28,4.44,Y
Penn State,Big Ten,Green Bay,2023,149,5,15,Sean Clifford,Quarterback,,,2022,226,351,0.644,2822,24,7,8.0,70,185,5,2.6,12,10,2,1,1,0,,,,,,,N
BYU,FBS Independents,Minnesota,2023,164,5,30,Jaren Hall,Quarterback,72.0,207.0,2022,248,376,0.66,3171,31,6,8.4,86,346,3,4.0,12,7,5,1,1,0,,,,,,,Y
Stanford,Pac-12,Philadelphia,2023,188,6,11,Tanner McKee,Quarterback,78.0,231.0,2022,264,426,0.62,2947,13,8,6.9,74,-90,2,-1.2,12,3,9,0,0,0,,,33.0,114.0,7.22,4.41,Y
TCU,Big 12,Los Angeles,2023,239,7,22,Max Duggan,Quarterback,74.0,207.0,2022,267,419,0.637,3698,32,8,8.8,137,423,9,3.1,13,12,1,2,1,1,4.52,,30.5,116.0,7.26,4.45,Y
USC,Pac-12,Chicago,2024,1,1,1,Caleb Williams,Quarterback,73.0,214.0,2023,266,388,0.686,3633,30,5,9.4,99,115,11,1.2,12,7,5,1,1,0,,,,,,,Y
LSU,SEC,Washington,2024,2,1,2,Jayden Daniels,Quarterback,76.0,210.0,2023,236,327,0.722,3812,40,4,11.7,135,1134,10,8.4,12,9,3,1,1,0,,,,,,,Y
North Carolina,ACC,New England,2024,3,1,3,Drake Maye,Quarterback,76.0,223.0,2023,269,425,0.633,3608,24,9,8.5,112,449,9,4.0,12,8,4,1,0,1,,,,,,,Y
Washington,Pac-12,Atlanta,2024,8,1,8,Michael Penix Jr.,Quarterback,74.0,216.0,2023,363,556,0.653,4903,36,11,8.8,35,8,3,0.2,13,13,0,2,1,1,,,,,,,Y
Michigan,Big Ten,Minnesota,2024,10,1,10,J.J. McCarthy,Quarterback,75.0,219.0,2023,240,332,0.723,2991,22,4,9.0,64,202,3,3.2,13,13,0,2,2,0,,,,,6.82,4.23,Y
Oregon,Pac-12,Denver,2024,12,1,12,Bo Nix,Quarterback,74.0,214.0,2023,364,470,0.774,4508,45,3,9.6,54,234,6,4.3,13,11,2,1,1,0,,,,,,,Y
South Carolina,SEC,New Orleans,2024,150,5,15,Spencer Rattler,Quarterback,72.0,211.0,2023,275,399,0.689,3186,19,8,8.0,98,102,4,1.0,12,5,7,0,0,0,4.95,,32.0,108.0,7.21,4.37,Y
Florida State,ACC,New York,2024,171,5,36,Jordan Travis,Quarterback,73.0,200.0,2023,207,324,0.639,2745,20,2,8.5,73,176,7,2.4,13,13,0,1,0,1,,,,,,,Y
Tennessee,SEC,New England,2024,193,6,17,Joe Milton III,Quarterback,77.0,235.0,2023,230,355,0.648,2814,20,5,7.9,78,299,7,3.8,12,8,4,1,1,0,,,35.0,121.0,,,Y
Kentucky,SEC,Baltimore,2024,218,6,42,Devin Leary,Quarterback,73.0,215.0,2023,209,371,0.563,2746,25,12,7.4,42,-60,1,-1.4,12,7,5,1,0,1,,,,,,,Y
Tulane,American Athletic,Green Bay,2024,245,7,25,Michael Pratt,Quarterback,75.0,217.0,2023,185,283,0.654,2406,22,5,8.5,98,286,5,2.9,13,11,2,1,0,1,,,36.0,114.0,7.2,4.23,Y
